Date,CommodityContract,Traded Contracts (in Lots),SegmentName
02 Mar 2015,GOLD         ,14949,PRECIOUS METAL PRODUCTS
03 Mar 2015,GOLD         ,14226,PRECIOUS METAL PRODUCTS
04 Mar 2015,GOLD         ,14327,PRECIOUS METAL PRODUCTS
05 Mar 2015,GOLD         ,12362,PRECIOUS METAL PRODUCTS
06 Mar 2015,GOLD         ,13874,PRECIOUS METAL PRODUCTS
09 Mar 2015,GOLD         ,12150,PRECIOUS METAL PRODUCTS
10 Mar 2015,GOLD         ,22524,PRECIOUS METAL PRODUCTS
11 Mar 2015,GOLD         ,19570,PRECIOUS METAL PRODUCTS
12 Mar 2015,GOLD         ,22086,PRECIOUS METAL PRODUCTS
13 Mar 2015,GOLD         ,18861,PRECIOUS METAL PRODUCTS
16 Mar 2015,GOLD         ,14101,PRECIOUS METAL PRODUCTS
17 Mar 2015,GOLD         ,21343,PRECIOUS METAL PRODUCTS
18 Mar 2015,GOLD         ,16651,PRECIOUS METAL PRODUCTS
19 Mar 2015,GOLD         ,20347,PRECIOUS METAL PRODUCTS
20 Mar 2015,GOLD         ,17963,PRECIOUS METAL PRODUCTS
23 Mar 2015,GOLD         ,12001,PRECIOUS METAL PRODUCTS
24 Mar 2015,GOLD         ,14695,PRECIOUS METAL PRODUCTS
25 Mar 2015,GOLD         ,16156,PRECIOUS METAL PRODUCTS
26 Mar 2015,GOLD         ,20191,PRECIOUS METAL PRODUCTS
27 Mar 2015,GOLD         ,18781,PRECIOUS METAL PRODUCTS
30 Mar 2015,GOLD         ,20179,PRECIOUS METAL PRODUCTS
31 Mar 2015,GOLD         ,23761,PRECIOUS METAL PRODUCTS
01 Apr 2015,GOLD         ,16888,PRECIOUS METAL PRODUCTS
02 Apr 2015,GOLD         ,9499,PRECIOUS METAL PRODUCTS
06 Apr 2015,GOLD         ,13285,PRECIOUS METAL PRODUCTS
07 Apr 2015,GOLD         ,9853,PRECIOUS METAL PRODUCTS
08 Apr 2015,GOLD         ,11191,PRECIOUS METAL PRODUCTS
09 Apr 2015,GOLD         ,13315,PRECIOUS METAL PRODUCTS
10 Apr 2015,GOLD         ,13871,PRECIOUS METAL PRODUCTS
13 Apr 2015,GOLD         ,11186,PRECIOUS METAL PRODUCTS
14 Apr 2015,GOLD         ,9434,PRECIOUS METAL PRODUCTS
15 Apr 2015,GOLD         ,13525,PRECIOUS METAL PRODUCTS
16 Apr 2015,GOLD         ,13769,PRECIOUS METAL PRODUCTS
17 Apr 2015,GOLD         ,11518,PRECIOUS METAL PRODUCTS
20 Apr 2015,GOLD         ,12510,PRECIOUS METAL PRODUCTS
21 Apr 2015,GOLD         ,10272,PRECIOUS METAL PRODUCTS
22 Apr 2015,GOLD         ,14246,PRECIOUS METAL PRODUCTS
23 Apr 2015,GOLD         ,12312,PRECIOUS METAL PRODUCTS
24 Apr 2015,GOLD         ,15488,PRECIOUS METAL PRODUCTS
27 Apr 2015,GOLD         ,16470,PRECIOUS METAL PRODUCTS
28 Apr 2015,GOLD         ,13704,PRECIOUS METAL PRODUCTS
29 Apr 2015,GOLD         ,13347,PRECIOUS METAL PRODUCTS
30 Apr 2015,GOLD         ,19756,PRECIOUS METAL PRODUCTS
01 May 2015,GOLD         ,8084,PRECIOUS METAL PRODUCTS
04 May 2015,GOLD         ,7829,PRECIOUS METAL PRODUCTS
05 May 2015,GOLD         ,14326,PRECIOUS METAL PRODUCTS
06 May 2015,GOLD         ,13342,PRECIOUS METAL PRODUCTS
07 May 2015,GOLD         ,15046,PRECIOUS METAL PRODUCTS
08 May 2015,GOLD         ,13876,PRECIOUS METAL PRODUCTS
11 May 2015,GOLD         ,13761,PRECIOUS METAL PRODUCTS
12 May 2015,GOLD         ,20394,PRECIOUS METAL PRODUCTS
13 May 2015,GOLD         ,22079,PRECIOUS METAL PRODUCTS
14 May 2015,GOLD         ,15866,PRECIOUS METAL PRODUCTS
15 May 2015,GOLD         ,14552,PRECIOUS METAL PRODUCTS
18 May 2015,GOLD         ,11814,PRECIOUS METAL PRODUCTS
19 May 2015,GOLD         ,18197,PRECIOUS METAL PRODUCTS
20 May 2015,GOLD         ,12225,PRECIOUS METAL PRODUCTS
21 May 2015,GOLD         ,13262,PRECIOUS METAL PRODUCTS
22 May 2015,GOLD         ,12609,PRECIOUS METAL PRODUCTS
25 May 2015,GOLD         ,6129,PRECIOUS METAL PRODUCTS
26 May 2015,GOLD         ,15295,PRECIOUS METAL PRODUCTS
27 May 2015,GOLD         ,12572,PRECIOUS METAL PRODUCTS
28 May 2015,GOLD         ,14112,PRECIOUS METAL PRODUCTS
29 May 2015,GOLD         ,14705,PRECIOUS METAL PRODUCTS
01 Jun 2015,GOLD         ,16599,PRECIOUS METAL PRODUCTS
02 Jun 2015,GOLD         ,10519,PRECIOUS METAL PRODUCTS
03 Jun 2015,GOLD         ,11604,PRECIOUS METAL PRODUCTS
04 Jun 2015,GOLD         ,15836,PRECIOUS METAL PRODUCTS
05 Jun 2015,GOLD         ,14423,PRECIOUS METAL PRODUCTS
08 Jun 2015,GOLD         ,9067,PRECIOUS METAL PRODUCTS
09 Jun 2015,GOLD         ,12004,PRECIOUS METAL PRODUCTS
10 Jun 2015,GOLD         ,10945,PRECIOUS METAL PRODUCTS
11 Jun 2015,GOLD         ,11337,PRECIOUS METAL PRODUCTS
12 Jun 2015,GOLD         ,9151,PRECIOUS METAL PRODUCTS
15 Jun 2015,GOLD         ,13261,PRECIOUS METAL PRODUCTS
16 Jun 2015,GOLD         ,9976,PRECIOUS METAL PRODUCTS
17 Jun 2015,GOLD         ,8734,PRECIOUS METAL PRODUCTS
18 Jun 2015,GOLD         ,14597,PRECIOUS METAL PRODUCTS
19 Jun 2015,GOLD         ,8928,PRECIOUS METAL PRODUCTS
22 Jun 2015,GOLD         ,12099,PRECIOUS METAL PRODUCTS
23 Jun 2015,GOLD         ,12859,PRECIOUS METAL PRODUCTS
24 Jun 2015,GOLD         ,11881,PRECIOUS METAL PRODUCTS
25 Jun 2015,GOLD         ,9662,PRECIOUS METAL PRODUCTS
26 Jun 2015,GOLD         ,12947,PRECIOUS METAL PRODUCTS
29 Jun 2015,GOLD         ,14208,PRECIOUS METAL PRODUCTS
30 Jun 2015,GOLD         ,15930,PRECIOUS METAL PRODUCTS
01 Jul 2015,GOLD         ,10204,PRECIOUS METAL PRODUCTS
02 Jul 2015,GOLD         ,14038,PRECIOUS METAL PRODUCTS
03 Jul 2015,GOLD         ,8339,PRECIOUS METAL PRODUCTS
06 Jul 2015,GOLD         ,10458,PRECIOUS METAL PRODUCTS
07 Jul 2015,GOLD         ,17330,PRECIOUS METAL PRODUCTS
08 Jul 2015,GOLD         ,16698,PRECIOUS METAL PRODUCTS
09 Jul 2015,GOLD         ,13010,PRECIOUS METAL PRODUCTS
10 Jul 2015,GOLD         ,9881,PRECIOUS METAL PRODUCTS
13 Jul 2015,GOLD         ,11230,PRECIOUS METAL PRODUCTS
14 Jul 2015,GOLD         ,10782,PRECIOUS METAL PRODUCTS
15 Jul 2015,GOLD         ,11945,PRECIOUS METAL PRODUCTS
16 Jul 2015,GOLD         ,10970,PRECIOUS METAL PRODUCTS
17 Jul 2015,GOLD         ,14073,PRECIOUS METAL PRODUCTS
20 Jul 2015,GOLD         ,21248,PRECIOUS METAL PRODUCTS
21 Jul 2015,GOLD         ,16739,PRECIOUS METAL PRODUCTS
22 Jul 2015,GOLD         ,21128,PRECIOUS METAL PRODUCTS
23 Jul 2015,GOLD         ,19895,PRECIOUS METAL PRODUCTS
24 Jul 2015,GOLD         ,24183,PRECIOUS METAL PRODUCTS
27 Jul 2015,GOLD         ,26312,PRECIOUS METAL PRODUCTS
28 Jul 2015,GOLD         ,18240,PRECIOUS METAL PRODUCTS
29 Jul 2015,GOLD         ,17666,PRECIOUS METAL PRODUCTS
30 Jul 2015,GOLD         ,23962,PRECIOUS METAL PRODUCTS
31 Jul 2015,GOLD         ,26370,PRECIOUS METAL PRODUCTS
03 Aug 2015,GOLD         ,11239,PRECIOUS METAL PRODUCTS
04 Aug 2015,GOLD         ,11638,PRECIOUS METAL PRODUCTS
05 Aug 2015,GOLD         ,12448,PRECIOUS METAL PRODUCTS
06 Aug 2015,GOLD         ,11757,PRECIOUS METAL PRODUCTS
07 Aug 2015,GOLD         ,20416,PRECIOUS METAL PRODUCTS
10 Aug 2015,GOLD         ,17090,PRECIOUS METAL PRODUCTS
11 Aug 2015,GOLD         ,20294,PRECIOUS METAL PRODUCTS
12 Aug 2015,GOLD         ,21689,PRECIOUS METAL PRODUCTS
13 Aug 2015,GOLD         ,14445,PRECIOUS METAL PRODUCTS
14 Aug 2015,GOLD         ,14415,PRECIOUS METAL PRODUCTS
17 Aug 2015,GOLD         ,11289,PRECIOUS METAL PRODUCTS
18 Aug 2015,GOLD         ,18004,PRECIOUS METAL PRODUCTS
19 Aug 2015,GOLD         ,19645,PRECIOUS METAL PRODUCTS
20 Aug 2015,GOLD         ,23393,PRECIOUS METAL PRODUCTS
21 Aug 2015,GOLD         ,28457,PRECIOUS METAL PRODUCTS
24 Aug 2015,GOLD         ,26566,PRECIOUS METAL PRODUCTS
25 Aug 2015,GOLD         ,24479,PRECIOUS METAL PRODUCTS
26 Aug 2015,GOLD         ,28602,PRECIOUS METAL PRODUCTS
27 Aug 2015,GOLD         ,15872,PRECIOUS METAL PRODUCTS
28 Aug 2015,GOLD         ,15913,PRECIOUS METAL PRODUCTS
31 Aug 2015,GOLD         ,11292,PRECIOUS METAL PRODUCTS
01 Sep 2015,GOLD         ,17779,PRECIOUS METAL PRODUCTS
02 Sep 2015,GOLD         ,18115,PRECIOUS METAL PRODUCTS
03 Sep 2015,GOLD         ,15822,PRECIOUS METAL PRODUCTS
04 Sep 2015,GOLD         ,18713,PRECIOUS METAL PRODUCTS
07 Sep 2015,GOLD         ,6623,PRECIOUS METAL PRODUCTS
08 Sep 2015,GOLD         ,9862,PRECIOUS METAL PRODUCTS
09 Sep 2015,GOLD         ,12915,PRECIOUS METAL PRODUCTS
10 Sep 2015,GOLD         ,16264,PRECIOUS METAL PRODUCTS
11 Sep 2015,GOLD         ,13921,PRECIOUS METAL PRODUCTS
14 Sep 2015,GOLD         ,10366,PRECIOUS METAL PRODUCTS
15 Sep 2015,GOLD         ,12528,PRECIOUS METAL PRODUCTS
16 Sep 2015,GOLD         ,20197,PRECIOUS METAL PRODUCTS
17 Sep 2015,GOLD         ,6071,PRECIOUS METAL PRODUCTS
18 Sep 2015,GOLD         ,18037,PRECIOUS METAL PRODUCTS
21 Sep 2015,GOLD         ,12625,PRECIOUS METAL PRODUCTS
22 Sep 2015,GOLD         ,19073,PRECIOUS METAL PRODUCTS
23 Sep 2015,GOLD         ,15295,PRECIOUS METAL PRODUCTS
24 Sep 2015,GOLD         ,22789,PRECIOUS METAL PRODUCTS
25 Sep 2015,GOLD         ,10993,PRECIOUS METAL PRODUCTS
28 Sep 2015,GOLD         ,18191,PRECIOUS METAL PRODUCTS
29 Sep 2015,GOLD         ,20920,PRECIOUS METAL PRODUCTS
30 Sep 2015,GOLD         ,29915,PRECIOUS METAL PRODUCTS
01 Oct 2015,GOLD         ,12802,PRECIOUS METAL PRODUCTS
05 Oct 2015,GOLD         ,15632,PRECIOUS METAL PRODUCTS
06 Oct 2015,GOLD         ,16190,PRECIOUS METAL PRODUCTS
07 Oct 2015,GOLD         ,17657,PRECIOUS METAL PRODUCTS
08 Oct 2015,GOLD         ,14704,PRECIOUS METAL PRODUCTS
09 Oct 2015,GOLD         ,15263,PRECIOUS METAL PRODUCTS
12 Oct 2015,GOLD         ,15006,PRECIOUS METAL PRODUCTS
13 Oct 2015,GOLD         ,17836,PRECIOUS METAL PRODUCTS
14 Oct 2015,GOLD         ,21138,PRECIOUS METAL PRODUCTS
15 Oct 2015,GOLD         ,21419,PRECIOUS METAL PRODUCTS
16 Oct 2015,GOLD         ,11872,PRECIOUS METAL PRODUCTS
19 Oct 2015,GOLD         ,10614,PRECIOUS METAL PRODUCTS
20 Oct 2015,GOLD         ,16065,PRECIOUS METAL PRODUCTS
21 Oct 2015,GOLD         ,12711,PRECIOUS METAL PRODUCTS
22 Oct 2015,GOLD         ,7639,PRECIOUS METAL PRODUCTS
23 Oct 2015,GOLD         ,18739,PRECIOUS METAL PRODUCTS
26 Oct 2015,GOLD         ,11612,PRECIOUS METAL PRODUCTS
27 Oct 2015,GOLD         ,10339,PRECIOUS METAL PRODUCTS
28 Oct 2015,GOLD         ,14678,PRECIOUS METAL PRODUCTS
29 Oct 2015,GOLD         ,19761,PRECIOUS METAL PRODUCTS
30 Oct 2015,GOLD         ,14239,PRECIOUS METAL PRODUCTS
02 Nov 2015,GOLD         ,10133,PRECIOUS METAL PRODUCTS
03 Nov 2015,GOLD         ,22050,PRECIOUS METAL PRODUCTS
04 Nov 2015,GOLD         ,15959,PRECIOUS METAL PRODUCTS
05 Nov 2015,GOLD         ,16497,PRECIOUS METAL PRODUCTS
06 Nov 2015,GOLD         ,19100,PRECIOUS METAL PRODUCTS
09 Nov 2015,GOLD         ,12254,PRECIOUS METAL PRODUCTS
10 Nov 2015,GOLD         ,10872,PRECIOUS METAL PRODUCTS
11 Nov 2015,GOLD         ,2423,PRECIOUS METAL PRODUCTS
12 Nov 2015,GOLD         ,10948,PRECIOUS METAL PRODUCTS
13 Nov 2015,GOLD         ,10893,PRECIOUS METAL PRODUCTS
16 Nov 2015,GOLD         ,17696,PRECIOUS METAL PRODUCTS
17 Nov 2015,GOLD         ,18750,PRECIOUS METAL PRODUCTS
18 Nov 2015,GOLD         ,12692,PRECIOUS METAL PRODUCTS
19 Nov 2015,GOLD         ,17402,PRECIOUS METAL PRODUCTS
20 Nov 2015,GOLD         ,15722,PRECIOUS METAL PRODUCTS
23 Nov 2015,GOLD         ,14786,PRECIOUS METAL PRODUCTS
24 Nov 2015,GOLD         ,13742,PRECIOUS METAL PRODUCTS
25 Nov 2015,GOLD         ,7555,PRECIOUS METAL PRODUCTS
26 Nov 2015,GOLD         ,9198,PRECIOUS METAL PRODUCTS
27 Nov 2015,GOLD         ,19692,PRECIOUS METAL PRODUCTS
30 Nov 2015,GOLD         ,17632,PRECIOUS METAL PRODUCTS
01 Dec 2015,GOLD         ,17292,PRECIOUS METAL PRODUCTS
02 Dec 2015,GOLD         ,14760,PRECIOUS METAL PRODUCTS
03 Dec 2015,GOLD         ,18431,PRECIOUS METAL PRODUCTS
04 Dec 2015,GOLD         ,24455,PRECIOUS METAL PRODUCTS
07 Dec 2015,GOLD         ,9246,PRECIOUS METAL PRODUCTS
08 Dec 2015,GOLD         ,14798,PRECIOUS METAL PRODUCTS
09 Dec 2015,GOLD         ,15965,PRECIOUS METAL PRODUCTS
10 Dec 2015,GOLD         ,10518,PRECIOUS METAL PRODUCTS
11 Dec 2015,GOLD         ,18831,PRECIOUS METAL PRODUCTS
14 Dec 2015,GOLD         ,13788,PRECIOUS METAL PRODUCTS
15 Dec 2015,GOLD         ,13951,PRECIOUS METAL PRODUCTS
16 Dec 2015,GOLD         ,14022,PRECIOUS METAL PRODUCTS
17 Dec 2015,GOLD         ,22012,PRECIOUS METAL PRODUCTS
18 Dec 2015,GOLD         ,17140,PRECIOUS METAL PRODUCTS
21 Dec 2015,GOLD         ,15555,PRECIOUS METAL PRODUCTS
22 Dec 2015,GOLD         ,12148,PRECIOUS METAL PRODUCTS
23 Dec 2015,GOLD         ,12134,PRECIOUS METAL PRODUCTS
24 Dec 2015,GOLD         ,5323,PRECIOUS METAL PRODUCTS
28 Dec 2015,GOLD         ,8117,PRECIOUS METAL PRODUCTS
29 Dec 2015,GOLD         ,11090,PRECIOUS METAL PRODUCTS
30 Dec 2015,GOLD         ,12686,PRECIOUS METAL PRODUCTS
31 Dec 2015,GOLD         ,8401,PRECIOUS METAL PRODUCTS
01 Jan 2016,GOLD         ,1985,PRECIOUS METAL PRODUCTS
04 Jan 2016,GOLD         ,20426,PRECIOUS METAL PRODUCTS
05 Jan 2016,GOLD         ,14632,PRECIOUS METAL PRODUCTS
06 Jan 2016,GOLD         ,22678,PRECIOUS METAL PRODUCTS
07 Jan 2016,GOLD         ,23524,PRECIOUS METAL PRODUCTS
08 Jan 2016,GOLD         ,22730,PRECIOUS METAL PRODUCTS
11 Jan 2016,GOLD         ,17277,PRECIOUS METAL PRODUCTS
12 Jan 2016,GOLD         ,18134,PRECIOUS METAL PRODUCTS
13 Jan 2016,GOLD         ,16125,PRECIOUS METAL PRODUCTS
14 Jan 2016,GOLD         ,18704,PRECIOUS METAL PRODUCTS
15 Jan 2016,GOLD         ,21345,PRECIOUS METAL PRODUCTS
18 Jan 2016,GOLD         ,10104,PRECIOUS METAL PRODUCTS
19 Jan 2016,GOLD         ,15160,PRECIOUS METAL PRODUCTS
20 Jan 2016,GOLD         ,25476,PRECIOUS METAL PRODUCTS
21 Jan 2016,GOLD         ,23871,PRECIOUS METAL PRODUCTS
22 Jan 2016,GOLD         ,16042,PRECIOUS METAL PRODUCTS
25 Jan 2016,GOLD         ,14596,PRECIOUS METAL PRODUCTS
27 Jan 2016,GOLD         ,14938,PRECIOUS METAL PRODUCTS
28 Jan 2016,GOLD         ,18517,PRECIOUS METAL PRODUCTS
29 Jan 2016,GOLD         ,20573,PRECIOUS METAL PRODUCTS
01 Feb 2016,GOLD         ,13665,PRECIOUS METAL PRODUCTS
02 Feb 2016,GOLD         ,11696,PRECIOUS METAL PRODUCTS
03 Feb 2016,GOLD         ,18481,PRECIOUS METAL PRODUCTS
04 Feb 2016,GOLD         ,15506,PRECIOUS METAL PRODUCTS
05 Feb 2016,GOLD         ,21460,PRECIOUS METAL PRODUCTS
08 Feb 2016,GOLD         ,23592,PRECIOUS METAL PRODUCTS
09 Feb 2016,GOLD         ,22140,PRECIOUS METAL PRODUCTS
10 Feb 2016,GOLD         ,21372,PRECIOUS METAL PRODUCTS
11 Feb 2016,GOLD         ,35734,PRECIOUS METAL PRODUCTS
12 Feb 2016,GOLD         ,20404,PRECIOUS METAL PRODUCTS
15 Feb 2016,GOLD         ,16727,PRECIOUS METAL PRODUCTS
16 Feb 2016,GOLD         ,23461,PRECIOUS METAL PRODUCTS
17 Feb 2016,GOLD         ,16674,PRECIOUS METAL PRODUCTS
18 Feb 2016,GOLD         ,18489,PRECIOUS METAL PRODUCTS
19 Feb 2016,GOLD         ,19726,PRECIOUS METAL PRODUCTS
22 Feb 2016,GOLD         ,21251,PRECIOUS METAL PRODUCTS
23 Feb 2016,GOLD         ,20967,PRECIOUS METAL PRODUCTS
24 Feb 2016,GOLD         ,26926,PRECIOUS METAL PRODUCTS
25 Feb 2016,GOLD         ,23720,PRECIOUS METAL PRODUCTS
26 Feb 2016,GOLD         ,25839,PRECIOUS METAL PRODUCTS
